,btc,eth,usdt,bch,bsv,eos,xrp,ltc,bnb,ada,link
btc,1.0,0.6093440584413227,0.17455593658093255,0.6851446250595767,0.0009430766927382985,0.6103850067697852,0.5802298905972552,0.7794578497825363,0.6228784508893715,0.6010903444036834,0.5103143264004038
eth,0.6093440584413227,1.0,0.09832370176031083,0.8817461903597392,-0.013205568115811767,0.7728872247840701,0.8320354170355606,0.8707771384726246,0.10143782641682333,0.8816913998930196,-0.11383409452705041
usdt,0.17455593658093255,0.09832370176031083,1.0,0.11529381010021504,-0.03421984460867135,0.04710462674278209,0.09613501514499752,0.1480634556173862,0.08363625771327031,0.07916129340890259,0.07195307742718217
bch,0.6851446250595767,0.8817461903597392,0.11529381010021504,1.0,-0.022382405697741383,0.7291441626514832,0.8101689853531442,0.8786700630011951,0.08536947410267905,0.8557087616402455,-0.10911315391571788
bsv,0.0009430766927382985,-0.013205568115811767,-0.03421984460867135,-0.022382405697741383,1.0,-0.015803827347003883,-0.02449867027520296,-0.01388163986958128,0.004021790132691037,-0.02327128814992345,0.010708431095431948
eos,0.6103850067697852,0.7728872247840701,0.04710462674278209,0.7291441626514832,-0.015803827347003883,1.0,0.71501928792672,0.7621928496537762,0.43878719120545645,0.7614961191226589,0.012021457304083502
xrp,0.5802298905972552,0.8320354170355606,0.09613501514499752,0.8101689853531442,-0.02449867027520296,0.71501928792672,1.0,0.8063316953847701,0.19183251415671723,0.9498026921329652,-0.06652556600173835
ltc,0.7794578497825363,0.8707771384726246,0.1480634556173862,0.8786700630011951,-0.01388163986958128,0.7621928496537762,0.8063316953847701,1.0,0.33222502085938965,0.8309675454369191,0.027227577989344835
bnb,0.6228784508893715,0.10143782641682333,0.08363625771327031,0.08536947410267905,0.004021790132691037,0.43878719120545645,0.19183251415671723,0.33222502085938965,1.0,0.1750801908647365,0.6637333125312742
ada,0.6010903444036834,0.8816913998930196,0.07916129340890259,0.8557087616402455,-0.02327128814992345,0.7614961191226589,0.9498026921329652,0.8309675454369191,0.1750801908647365,1.0,-0.056951435044594614
link,0.5103143264004038,-0.11383409452705041,0.07195307742718217,-0.10911315391571788,0.010708431095431948,0.012021457304083502,-0.06652556600173835,0.027227577989344835,0.6637333125312742,-0.056951435044594614,1.0
