,btc,eth,usdt,bch,bsv,eos,xrp,ltc,bnb,ada,link
btc,1.0,0.6093440584413217,0.17455593658093224,0.6851446250595787,0.0009430766927382864,0.6103850067697867,0.580229890597254,0.7794578497825374,0.6228784508893725,0.6010903444036858,0.5103143264004042
eth,0.6093440584413217,1.0,0.09832370176031117,0.8817461903597381,-0.013205568115811766,0.7728872247840703,0.8320354170355598,0.8707771384726253,0.10143782641682345,0.8816913998930177,-0.1138340945270505
usdt,0.17455593658093224,0.09832370176031117,1.0,0.1152938101002144,-0.034219844608671175,0.04710462674278196,0.09613501514499748,0.1480634556173862,0.08363625771327059,0.07916129340890249,0.07195307742718203
bch,0.6851446250595787,0.8817461903597381,0.1152938101002144,1.0,-0.02238240569774129,0.7291441626514822,0.8101689853531447,0.8786700630011947,0.08536947410267907,0.8557087616402453,-0.10911315391571753
bsv,0.0009430766927382864,-0.013205568115811766,-0.034219844608671175,-0.02238240569774129,1.0,-0.015803827347003856,-0.02449867027520292,-0.013881639869581323,0.004021790132691042,-0.023271288149923457,0.01070843109543195
eos,0.6103850067697867,0.7728872247840703,0.04710462674278196,0.7291441626514822,-0.015803827347003856,1.0,0.7150192879267198,0.7621928496537752,0.43878719120545756,0.7614961191226579,0.012021457304083485
xrp,0.580229890597254,0.8320354170355598,0.09613501514499748,0.8101689853531447,-0.02449867027520292,0.7150192879267198,1.0,0.8063316953847682,0.19183251415671723,0.949802692132967,-0.06652556600173866
ltc,0.7794578497825374,0.8707771384726253,0.1480634556173862,0.8786700630011947,-0.013881639869581323,0.7621928496537752,0.8063316953847682,1.0,0.33222502085938965,0.8309675454369189,0.02722757798934506
bnb,0.6228784508893725,0.10143782641682345,0.08363625771327059,0.08536947410267907,0.004021790132691042,0.43878719120545756,0.19183251415671723,0.33222502085938965,1.0,0.1750801908647365,0.6637333125312745
ada,0.6010903444036858,0.8816913998930177,0.07916129340890249,0.8557087616402453,-0.023271288149923457,0.7614961191226579,0.949802692132967,0.8309675454369189,0.1750801908647365,1.0,-0.05695143504459424
link,0.5103143264004042,-0.1138340945270505,0.07195307742718203,-0.10911315391571753,0.01070843109543195,0.012021457304083485,-0.06652556600173866,0.02722757798934506,0.6637333125312745,-0.05695143504459424,1.0
